Seed,Sample Size,True Effect 1,True Effect 2,Causal Effect Estimate 1 (Cumulant),Causal Effect Estimate 2 (Cumulant),Causal Effect Estimate 1 (Min Norm),Causal Effect Estimate 2 (Min Norm),Distance to Line,GRICA Effect Estimate 1,GRICA Effect Estimate 2
19,100000,0.7759433916956944,0.720867133387871,0.860763410342495,0.6465577395385937,0.7067515489754437,0.7851850823504539,0.0015340524783898463,1.0087112188339233,0.6701256036758423
19,10000000,0.7759433916956944,0.720867133387871,0.7754860474388009,0.7209983273564213,0.6955505261061065,0.7912645765541875,-0.00020479144843161065,1.0087112188339233,0.6701256036758423
20,10,0.7603143656493321,-0.6075180954977416,0.6281688071736525,-0.9710641867261774,-0.25083658680951537,-0.36202217120437313,-0.2671464127966599,0.6084626317024231,-0.9165839552879333
20,1000,0.7603143656493321,-0.6075180954977416,0.10883608050676541,-1.0499509836592036,0.5510584339460196,-0.703606142837691,0.05483909787705152,0.16379255056381226,-1.1385186910629272
20,100000,0.7603143656493321,-0.6075180954977416,0.8120678147756804,-0.5901617635717414,0.5680431011812771,-0.7701485420939207,-0.016714924421011388,0.20425541698932648,-1.0437731742858887
20,10000000,0.7603143656493321,-0.6075180954977416,0.7630405652697567,-0.605104856516176,0.558535631951565,-0.7561615816191665,0.0003201263649693739,0.20425541698932648,-1.0437731742858887
21,10,0.6840561335171904,0.717747343783055,0.6487536225436972,0.3760353954288336,0.46923269995839506,0.5338323039090556,-0.146174555130764,0.5755572319030762,0.38840389251708984
21,1000,0.6840561335171904,0.717747343783055,1.3805562895686125,0.1435735981496966,0.6260601303555624,0.7628101766179716,-0.001616563940166347,0.28451088070869446,0.703933596611023
21,100000,0.6840561335171904,0.717747343783055,-0.07125742875843877,1.420453857583289,0.675316760368008,0.725982169366357,6.529696189601063e-05,0.3774432837963104,0.629120945930481
21,10000000,0.6840561335171904,0.717747343783055,0.6792572707768769,0.7223968511987698,0.6748553760699405,0.7264859082255273,0.00011891830637133824,0.3774432837963104,0.629120945930481
22,10,0.8180659101830612,0.511630539735236,-1.9896325095097627,-2.7648830416068817,0.2663395391689072,-0.23776252535610679,0.08614696386178997,1.0554392337799072,0.7503388524055481
22,1000,0.8180659101830612,0.511630539735236,1.8799506533756238,1.7605212031315305,0.20833924387605646,-0.17951342329927727,-0.01041836070581827,1.4894927740097046,1.2303361892700195
22,100000,0.8180659101830612,0.511630539735236,0.9907323727106828,0.7081104712565134,0.22591267443141227,-0.1919645198493965,0.004243000943927488,1.3122161626815796,1.2903913259506226
22,10000000,0.8180659101830612,0.511630539735236,0.8608115126592032,0.5608398231397184,0.21808289343296391,-0.1873443920894513,0.00034810130298230387,1.3122161626815796,1.2903913259506226
23,10,-0.7871407352904154,0.5476906776736491,-3.4080148432907222,0.8933310209763048,0.055319389401630635,0.35766807674236456,0.06589026570946653,-0.49078133702278137,0.9279015064239502
23,1000,-0.7871407352904154,0.5476906776736491,-1.3308549037594442,0.9118523918971759,0.004750443548919457,0.007011974358174456,0.003312233027859853,-1.1547040939331055,0.8916844129562378
23,100000,-0.7871407352904154,0.5476906776736491,-1.3273899261772895,0.9277156171585593,-0.002480842598483874,-0.003529565526645652,-0.00022740800448692924,-1.0919831991195679,0.9113651514053345
23,10000000,-0.7871407352904154,0.5476906776736491,-0.7816019982920764,0.5442769154094198,-0.0027987942435647555,-0.0039757398409051665,-0.00036990283852776575,-1.0919831991195679,0.9113651514053345
24,10,0.8228877197553653,0.8376880614089453,3.8564891023433203,0.5917005020386581,0.2865604766761319,1.3496660886774836,-0.23141865598222996,1.4381603002548218,1.4190642833709717
24,1000,0.8228877197553653,0.8376880614089453,1.1445057871099704,0.5630819236241518,0.7290709853555317,0.8997211729513176,0.009422855549714846,1.0164421796798706,1.2034015655517578
24,100000,0.8228877197553653,0.8376880614089453,0.0363326843081318,1.448514281701507,0.7163395476196266,0.9177321966861532,0.002155796407794669,1.140020489692688,1.166900873184204
24,10000000,0.8228877197553653,0.8376880614089453,0.8501240398758424,0.8135494654638405,0.7336485156910546,0.9076916705785378,0.0014498208037210733,1.140020489692688,1.166900873184204
25,10,0.8601097352226852,0.7678449112428809,-1.2322725080990322,0.5782439571146661,-0.17094229487119028,0.8039207166581601,-0.964484537695843,0.9257432818412781,0.5565589070320129
25,1000,0.8601097352226852,0.7678449112428809,1.04632804840743,0.9973539472087534,0.02098098811616012,-0.0211225247506439,0.031210730282618525,1.164767861366272,0.8211942315101624
25,100000,0.8601097352226852,0.7678449112428809,1.040414028036821,0.9281837212515538,0.023431889759102553,-0.025000225233517515,-0.006730273901055312,1.1709365844726562,0.8254667520523071
25,10000000,0.8601097352226852,0.7678449112428809,0.39482774011637956,0.3417032633952557,0.009927216959204418,-0.010838409457176325,1.8311374707061306e-05,1.1709365844726562,0.8254667520523071
26,10,-0.8693197838072172,-0.8554920965610812,1.366455429934279,0.9414332565240839,0.38694556087682214,-0.3042615261327809,-0.5018497407597293,-0.32533687353134155,-1.2428197860717773
26,1000,-0.8693197838072172,-0.8554920965610812,-0.8407388755355035,-0.8360382693005493,-0.8943752172297835,-0.7740654549226961,-0.04180872647592425,-0.7420050501823425,-1.2607313394546509
26,100000,-0.8693197838072172,-0.8554920965610812,-0.3714916674126962,-1.2603536953377055,-0.7548493944419262,-0.9584229614846984,0.008634492422367657,-0.5714053511619568,-1.1939913034439087
26,10000000,-0.8693197838072172,-0.8554920965610812,-0.8117721248703222,-0.901263200458444,-0.7674599409477988,-0.9375367913923447,-0.0009013244017662409,-0.5714053511619568,-1.1939913034439087
27,10,-0.7902292030540518,-0.8397739793238093,0.5404799163530681,0.031156467239650404,0.11132325813597437,-0.20355140564923285,0.06031071721004875,-0.2733824551105499,-0.12530648708343506
27,1000,-0.7902292030540518,-0.8397739793238093,-1.7699590032716732,0.29151266000057124,-0.9798417377181834,-0.7461151754399449,0.13750724788223828,-0.347545862197876,-0.3231388330459595
27,100000,-0.7902292030540518,-0.8397739793238093,-0.7224643263022259,-0.88024291830606,-0.8150730806773497,-0.7839586242192402,-0.026969275856735683,-0.2887776792049408,-0.3285626173019409
27,10000000,-0.7902292030540518,-0.8397739793238093,-0.7801579834679118,-0.8492396674057551,-0.8373753627862411,-0.7884736222079517,-0.0010939142877701461,-0.2887776792049408,-0.3285626173019409
28,10,0.8820585737270348,-0.529238309906384,1.9590229809003636,-0.24115365703684402,0.46616552770357605,-0.9634632111532692,-0.16230894817069647,1.0294331312179565,-0.628368616104126
28,1000,0.8820585737270348,-0.529238309906384,1.1757042912868447,-0.2309997876423634,0.5987577694480759,-0.7144919121150077,0.037318204814601255,0.9735944867134094,-0.34434691071510315
28,100000,0.8820585737270348,-0.529238309906384,0.8211630555348127,-0.5815207950205046,0.5998726176881239,-0.756901666849027,-0.002960867175831126,1.1323537826538086,-0.38888221979141235
28,10000000,0.8820585737270348,-0.529238309906384,0.8798027148325696,-0.531171731313526,0.5961247822292824,-0.7551196212171325,-0.00011281071664806801,1.1323537826538086,-0.38888221979141235
